scheme,variant,infer_obj,K,beta_inf,recon_w,nonfinite,rank_frac,var_med,temp_var,collapse_pass,corr_norm,innov_kl,R_prior,R_post,recon_gain,F_prior,F_post,F_gain,R_pr_true,R_pr_shuf,R_pr_noop,act_gain_R,act_gain_F,act_gain_noop,D_pred,D_noop,noop_ratio,kl_exact,fisher_q,exact/quad,rate_mean,rate_p95,rate_p99,rate_max,hi_sat,lo_sat,SATURATED,CLEAN,error
online,poisson_exact_kl,free_energy,4,1.0,0.001,0,0.071,6.58e-01,2.25e+00,0,31.1897,82.173,1360.7267,1363.5957,-2.86902,1360.7267,1445.7691,-85.0424,1360.7267,1360.7291,1365.2588,0.00244,0.00244,4.5321,82.173,122.981,0.668,63.792,2461.23,0.026,1.191,2.71,5.64,66.02,0.0,0.015,0,0,
online,poisson_exact_kl,recon_only,4,1.0,0.001,0,0.047,5.29e-01,5.43e-01,0,10.2602,2198.303,1348.978,1312.1398,36.83826,1348.978,3510.4425,-2161.46448,1348.978,1348.9949,1328.5409,0.01685,0.01685,-20.43713,2198.303,1669.195,1.317,1768.303,302.845,5.839,7.497,49.58,148.41,148.41,0.02,0.0,1,0,
online,gaussian_exact_kl,free_energy,4,1.0,0.001,0,0.007,1.38e-01,1.72e-01,0,0.7608,0.308,1470.7557,1470.5784,0.17737,1470.7557,1470.8868,-0.13105,1470.7557,1470.7559,1470.738,0.00012,0.00012,-0.0177,0.308,80.802,0.004,0.261,0.231,1.127,nan,nan,nan,nan,0.0,0.0,0,0,
online,gaussian_exact_kl,recon_only,4,1.0,0.001,0,0.007,1.29e-01,1.71e-01,0,1.9914,2.087,1470.016,1469.1791,0.83691,1470.016,1471.2657,-1.24967,1470.016,1470.0164,1469.6859,0.00037,0.00037,-0.33008,2.087,82.017,0.025,2.041,1.939,1.053,nan,nan,nan,nan,0.0,0.0,0,0,
